name,category,Keywords,Description,State_Name,Raiting,Rank,Location_URL
The Museum of Egyptian Antiquities,Speciality Museums,"king tut, amazing collection, on display, death mask, royal mummies, gold mask, take photos, tahrir square, ancient, egypt, egyptian, pounds, exhibits, mummy, camera, sarcophagus, tuts, coffin, contents, thousands, signage, jewelry, kingdom, civilization, highlights","This famous museum houses the world's largest collection of ancient Egyption artifacts (more than 120,000 items on display) featuring
the famous Tutankhamun collection with its beautiful gold death mask and sarcophagus and the royal Mummy room, which houses an additional eleven Pharaonic dignitaries.",Cairo,4.5,2,"https://www.google.com/maps/place/The+Egyptian+Museum+in+Cairo/@30.0483167,31.2336674,15z/data=!4m6!3m5!1s0x1458b14d72adf029:0x9a38f9bbb6edbfe4!8m2!3d30.0483167!4d31.2336674!16zL20vMDE5cGpo?entry=ttu"
Luxor Museum,History Museums,"couple of hours, worth a visit, temples and tombs, exhibits, mummies, collection, egypt, signage, corniche, arabic, king, egp, bank, thousands, valley","A museum featuring items found beneath the Luxor Temple, and from the tomb of King Tut. Also on exhibit is a re-assembled wall from the Temple of Aten.",Luxor,4.5,12,https://www.google.com/maps/place/luxor+museum/data=!4m2!3m1!1s0x144915c41edadf61:0xbbd310fcbd539024?sa=X&ved=1t:155783&ictx=111&cshid=1719083986790307
Bibliotheca Alexandrina,Art Museums,"modern library, amazing library, cultural center, guided tour, alexandria library, beautiful building, amazing place, books, manuscripts, libraries, exhibition, architecture, sadat, collection, exhibits, millions, permanent, knowledge, egypt, archives, project, arabic, security, egp, mediterranean, corniche","Located near the site of the ancient library of Alexandria, this modern version is an eleven-story, cylindrical-shaped building that houses more than eight million books. A re-imagining of Alexandria's ancient Great Library, this gorgeously designed cultural center contains a host of museums as well as one of the modern world's most ambitious libraries. Its architecture - a giant sun disk - presides over the waterfront Corniche, while inside, a huge reading room can hold eight million volumes. Below themain library, visitors can explore a range of beautifully curated exhibitions. TheManuscript Museum with its magnificent collection of ancient texts and scrolls and the Antiquities Museum with its Graeco-Roman antiquities and statuary found during underwater exploration in the harbor are the two prime attractions. But there are also rotating art exhibitions, a permanent Egyptian folk art collection, and a Science Museum and Planetarium that are aimed squarely at children.",Alexandria,4.5,3,"https://www.google.com/maps/place/Alexandria+Bibliotheca/@31.2089078,29.9065838,17z/data=!3m1!4b1!4m6!3m5!1s0x14f5c38a0562fe85:0xa34cc632ec23e7!8m2!3d31.2089032!4d29.9091587!16zL20vMDF4NjNz?entry=ttu"
Mini Egypt Park,Speciality Museums,"couple of hours, amazing photos, tour guide, walid, egypt, hurghada, statues, dak, camera",Mini egypt park is a miniature for all egypt it has more than 50 makets with scale 1:25 for the most famous palces of egypt.Its an open air museum which can help the guests to have an idea about all egypt in one place.,Hurghada,4.5,4,"https://www.google.com/maps/place/Mini+Egypt+Park/@26.9876255,33.8513947,17z/data=!3m1!4b1!4m6!3m5!1s0x144d793c445e6619:0xe96891c657fbc2d!8m2!3d26.9876208!4d33.8562656!16s%2Fg%2F11c1rg177b?entry=ttu"
Nubian Museum,History Museums,"interesting exhibits, chronological order, old cataract, well worth a visit, on display, ramses ii, ancient egypt, egyptian history, lake nasser, high dam, abu simbel, aswan dam, elephantine, island, statues, kush, civilization, information, arabic, kingdom, unesco, insight, perspective","This museum traces the history from the earliest settlements to present day of Nubia, the region defined as the area between Aswan in Egypt and Khartoum in the Sudan.",Aswan,4.5,5,"https://www.google.com/maps/place/Nubian+Museum/@24.0794298,32.8866,17z/data=!3m1!4b1!4m6!3m5!1s0x143663597d21e809:0xca27e595fe005147!8m2!3d24.0794249!4d32.8891749!16s%2Fm%2F02vrh1g?entry=ttu"
National Museum of Egyptian Civilization NEMC,History Museums,"royal mummies, main hall, mummy collection, greco roman, beautiful lake, arranged chronologically, prehistoric times, chronological order, gift shop, ramses ii, on display, coptic area, entrance fee, take pictures, egyptian pounds, tour guide, king tut, textiles, exhibits, tickets, stages","The National Museum of Egyptian Civilization (NEMC) stands as a beacon of Egypt's rich cultural heritage, offering visitors an immersive journey through millennia of history, art, and civilization. Situated in the heart of Cairo, this institution serves as a testament to the enduring legacy of one of the world's most fascinating civilizations.",Cairo,4.5,9,"https://www.google.com/maps/place/The+National+Museum+of+Egyptian+Civilization/@30.00841,31.2070473,13z/data=!4m10!1m2!2m1!1sNational+Museum+of+Egyptian+Civilization+NEMC!3m6!1s0x1458476863e39e8f:0xc2e058446f8f145d!8m2!3d30.00841!4d31.248246!15sCi1OYXRpb25hbCBNdXNldW0gb2YgRWd5cHRpYW4gQ2l2aWxpemF0aW9uIE5FTUNaLyItbmF0aW9uYWwgbXVzZXVtIG9mIGVneXB0aWFuIGNpdmlsaXphdGlvbiBuZW1jkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJhZVhSeFlsOW5SUkFC4AEA!16s%2Fg%2F11b8ch7dmc?entry=ttu"
The Coptic Museum,Art Museums,"coptic, cairo, well worth a visit, collection, artifacts, history, roman, visitors, egypt, islam","Housing some of the finest collections of Coptic art dating back to Egypt's Christian era, this museum includes collections of ancient ankhs and Horus-like falcons, stone carvings from the era of the Mamluks, a 6th-century Coptic stone pulpit and the 1,600-year-old Coptic book of the Psalms of David.",Cairo,4.5,10,"https://www.google.com/maps/place/The+Coptic+Museum/@30.0057691,31.2278223,17z/data=!3m1!4b1!4m6!3m5!1s0x145847105643425d:0x5c7b299fa692161a!8m2!3d30.0057645!4d31.2303972!16s%2Fm%2F02x00v9?entry=ttu"
Karnak Open Air Museum,History Museums,"few hours, mind blowing, luxor temple, karnak, columns, jigsaw, egypt, stone, artifacts, scale, heat, kings, avenue, valley","The Karnak Open Air Museum is a captivating testament to the grandeur of ancient Egyptian architecture and religious devotion. Nestled within the vast complex of the Karnak Temple in Luxor, Egypt, this open-air museum offers visitors a unique opportunity to explore a rich tapestry of history amidst the breathtaking backdrop of monumental temples and towering obelisks.",Luxor,4.5,37,"https://www.google.com/maps/place/Karnak+Open-air+Museum/@25.7204359,32.6549028,17z/data=!3m1!4b1!4m6!3m5!1s0x144915b0005983e1:0x8df31f77e62ef3a4!8m2!3d25.7204311!4d32.6574777!16zL20vMGJ5Mjhy?entry=ttu"
Royal Jewelry Museum,Speciality Museums,"beautiful collection, walls and ceiling, king farouk, on display, palace, paintings, egypt, pasha, revolution, kingdom, century","Royak Jewelery Museum is a dazzling showcase of opulence and elegance, housing a remarkable collection of jewelry and decorative arts from Egypt's royal past. Situated within the sumptuous surroundings of the former palace of Princess Fatma Al-Zahraa, the museum offers visitors a captivating journey through the glittering world of Egypt's aristocracy.",Alexandria,4.5,14,"https://www.google.com/maps/place/Royal+Jewelry+Museum,+Alexandria/@31.2406142,29.9607099,17z/data=!3m1!4b1!4m6!3m5!1s0x14f5c5293b29f3cb:0xf790955947954877!8m2!3d31.2406096!4d29.9632848!16s%2Fm%2F026b12c?entry=ttu"
Museum of Islamic Arts,Religious Museums,"on display, well worth a visit, vast collection, egyptian civilization,ceramics , arabic, visitors, advances, coins, architecture, sword, viewing, palace","The Museum of Islamic Arts in Cairo, known locally as the Museum of Islamic Art, is a cultural gem nestled within the heart of Egypt's bustling capital. Situated in the historic district of Bab al-Khalq, this distinguished institution stands as a bastion of Islamic art, architecture, and heritage, showcasing the richness and diversity of Egypt's Islamic cultural legacy.",Cairo,4.5,15,"https://www.google.com/maps/place/Museum+of+Islamic+Art+in+Cairo/@30.0447243,31.2501463,17z/data=!3m1!4b1!4m6!3m5!1s0x14583f7d6211c891:0xad7d1092373bae8b!8m2!3d30.0447197!4d31.2527212!16s%2Fm%2F025yv_5?entry=ttu"
Alexandria National Museum,History Museums,"greco roman, egyptian history, on display, worth a visit, three levels,eras, exhibits, italianate, mummy, foreigners, mansion, kingdom, egp, jewelry",More than 1800 archaeological pieces are exhibited chronologically from one floor to the next: the basement is devoted to Prehistoric and Pharonic times; first floor to the Graeco-Roman period; second floor to the Coptic and Islamic era that highlights artifacts raised during recent underwater excavations.,Alexandria,4,17,"https://www.google.com/maps/place/Alexandria+National+Museum/@31.2007461,29.9106228,17z/data=!3m1!4b1!4m6!3m5!1s0x14f5c38efd4b015d:0xa2ebaf38ebb3039b!8m2!3d31.2007415!4d29.9131977!16s%2Fm%2F04n2r_v?entry=ttu"
King Tut Museum,History Museums,"howard carter,on display, exhibits, replica, recording, guide, egyptologist, ancient, jewelry","King Tut Museum in Genena City is the most important sightseeing in South Sinai. Itâ€™s collecting one To one copied pieces of King Tut exhibits from Egyptian Museum. All the pieces were created under supervision of Ministry of State for Antiquities affairs. 135 pieces in an integrated museum were proposed with a series of photographs showing the opening of the cemetery and some of the documents in the handwriting of Howard Carter, who discovered the tomb in 1922 and the museum has been designed to the highest level of vision and lighting supported by full explanation of different languages and content management of the museum",Sharm El Sheikh,4.5,19,"https://www.google.com/maps/place/King+Tut+Museum/@28.946515,31.4004015,8z/data=!4m10!1m2!2m1!1sKing+Tut+Museum!3m6!1s0x145339d2ac12a6cb:0xbbc09ec99255e5c8!8m2!3d27.908443!4d34.320323!15sCg9LaW5nIFR1dCBNdXNldW1aESIPa2luZyB0dXQgbXVzZXVtkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5VTVZvemVFeDNFQUXgAQA!16s%2Fg%2F11c6v7l8_6?entry=ttu"
Sharm El-Sheikh Museum,History Museums,"egyptian history, well worth a visit, artifacts, boats, hotel","The Sharm El-Sheikh Museum, located in the picturesque resort town of Sharm El-Sheikh on the southern tip of the Sinai Peninsula in Egypt, is set to become a beacon of cultural heritage and historical exploration in the region. Planned as a state-of-the-art institution, the museum aims to showcase the rich tapestry of Egypt's history, culture, and civilization, offering visitors an immersive journey through the millennia of Egypt's fascinating past.",Sharm El Sheikh,5,21,"https://www.google.com/maps/place/%D9%85%D8%AA%D8%AD%D9%81+%D9%88%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AD%D8%B6%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/@27.9241329,34.2440327,12z/data=!4m10!1m2!2m1!1sSharm+El-Sheikh+Museum!3m6!1s0x1453379dede99f63:0xe6401eff7e5a4c60!8m2!3d27.9323252!4d34.345739!15sChZTaGFybSBFbC1TaGVpa2ggTXVzZXVtWhgiFnNoYXJtIGVsIHNoZWlraCBtdXNldW2SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTjZjSE5FYUVwM0VBReABAA!16s%2Fg%2F11g_z22gpy?entry=ttu"
Imhotep Museum,Speciality Museums,"exhibits, scribe, architect","The Imhotep Museum, located at the foot of the Step Pyramid of Djoser in Saqqara, Egypt, is a captivating tribute to one of ancient Egypt's most revered figures, Imhotep. As the architect of the world's first monumental stone building, the Step Pyramid complex, Imhotep is celebrated as a visionary genius whose innovations revolutionized ancient Egyptian architecture and engineering.",Giza,4.5,22,"https://www.google.com/maps/place/Imhotep+Museum/@29.8703127,31.222423,17z/data=!3m1!4b1!4m6!3m5!1s0x14584bd525ff4feb:0xf6749ed66df17c58!8m2!3d29.8703081!4d31.2249979!16zL20vMGZfcW13?entry=ttu"
El Alamein War Museum,Military Museums,"north africa, armoured vehicles, history buff, exhibits, sides, desert, german, war, egypt, collection, britain, soldiers, equipment, campaign, memorabilia, edge, season, countries, conflict, tribute, alexandria, highway, respect","The El Alamein War Museum stands as a solemn tribute to one of the most significant battles of World War II in North Africa. Located near the coastal town of El Alamein, Egypt, the museum commemorates the pivotal Battle of El Alamein, which took place between July and November 1942.",Alexandria,4,24,"https://www.google.com/maps/place/El+Alamein+Military+Museum/@30.8414059,28.940295,17z/data=!3m1!4b1!4m6!3m5!1s0x145fee72f360cb57:0xf848f4c0aad1a92b!8m2!3d30.8414013!4d28.9428699!16s%2Fg%2F122n51x4?entry=ttu"
Hurghada Museum,Art Museums,"ancient egypt, different periods, egyptian history, few hours, exhibits, pharaoh, tut, mummies, tourists, information, shop","Egypt Civilization Now in Hurghada Get Ready to enjoy one of the most amazing historical tours in Hurghada . or in All Egypt. Now and for the first time in Hurghada, Red Sea you can explore the Egyptian civilization from different ages just in one place , Hurghada Museum. Hurghada Museum is not only the first antiquities museum in Al-Bahr al-Ahmar (Red Sea) Governorate, but also the first museum that is the result of a joint project between the Ministry of Tourism and Antiquities, alâ€‘Bahr alâ€‘Ahmar (Red Sea) Governorate, and the private sector. The Museum endeavors to emphasize beauty across different historical periods in Egyptian history. It will present this theme to visitors in an appropriate manner through the means of an attractive museum scenario. The museum's themes are as diverse as the manifestations of beauty in Egyptian history. The Egyptian artists brought out the beauty highlighted in their environment and culture in accordance with their artistic vision.",Hurghada,4,27,"https://www.google.com/maps/place/Hurghada+Museum/@27.1605559,33.818881,17z/data=!3m1!4b1!4m6!3m5!1s0x14528133e3b8a3cf:0xf016d76812a5930b!8m2!3d27.1605512!4d33.8214559!16s%2Fg%2F11j59j0rbt?entry=ttu"
Military Museum,Military Museums,Military,"This military museum records the history of the Egyptian army forces from Pharaonic times to present-day, featuring exhibits of weaponry, medals, military equipment, uniforms and 220 paints of famous battles.",Cairo,3.5,41,"https://www.google.com/maps/place/National+Military+Museum+Egypt/@30.0306775,28.8234375,8z/data=!4m10!1m2!2m1!1smilitary+museum!3m6!1s0x145840aa8d33c963:0x74ce0ab766ad25ad!8m2!3d30.0306775!4d31.2624023!15sCg9taWxpdGFyeSBtdXNldW1aESIPbWlsaXRhcnkgbXVzZXVtkgEGbXVzZXVt4AEA!16s%2Fm%2F0rfgp1b?entry=ttu"
Port Said Military Museum,Military Museums,Military,"The Port Said Military Museum, located in the city of Port Said at the northern entrance of the Suez Canal, is a significant repository of Egypt's military history and heritage. Situated in a strategic location overlooking the canal, the museum serves as a testament to the region's pivotal role in Egypt's military endeavors throughout history.",Port Said,4,44,"https://www.google.com/maps/place/Port+Said+Military+Museum/@31.2700805,32.2974219,17z/data=!3m1!4b1!4m6!3m5!1s0x14f99c57f1a54cfd:0x64a6454e00e66326!8m2!3d31.2700759!4d32.2999968!16s%2Fg%2F1211qpqx?entry=ttu"
El Nasr Museum For Modern Art,Art Museums,"modern, history","The El Nasr Museum for Modern Art, located in Cairo, Egypt, is a prestigious institution dedicated to showcasing the vibrant and diverse expressions of modern and contemporary Egyptian art. Founded in 1962, the museum is housed within the historic Cairo Opera House complex, providing a culturally rich environment for visitors to explore and appreciate the nation's artistic heritage.",Port Said,4.5,50,"https://www.google.com/maps/place/Museum+of+Modern+Art+in+Port+Said/@31.2677226,32.2945526,16z/data=!4m10!1m2!2m1!1sEl+Nasr+Museum+For+Modern+Art!3m6!1s0x14f99c5665ccc7bf:0x9758767b782f3a88!8m2!3d31.2677226!4d32.3040798!15sCh1FbCBOYXNyIE11c2V1bSBGb3IgTW9kZXJuIEFydJIBEW1vZGVybl9hcnRfbXVzZXVt4AEA!16s%2Fm%2F0406z_g?entry=ttu"
The Fine Arts Museum,Art Museums,art,"The Fine Arts Museum in Alexandria, Egypt, is a cultural treasure trove nestled within the vibrant cityscape of Egypt's Mediterranean coast. Established in 1959, the museum is housed in the former palace of Princess Fatma Al-Zahraa, situated in the historic district of Zizinia.",Alexandria,4.5,53,"https://www.google.com/maps/place/Museum+of+Fine+Arts,+Alexandria/@31.1952366,-48.1335663,3z/data=!4m10!1m2!2m1!1sThe+Fine+Arts+Museum,+alexandria!3m6!1s0x14f5c390f8921e6d:0xcb76b61c433554ef!8m2!3d31.1952366!4d29.9133087!15sCiBUaGUgRmluZSBBcnRzIE11c2V1bSwgYWxleGFuZHJpYVohIh90aGUgZmluZSBhcnRzIG11c2V1bSBhbGV4YW5kcmlhkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41TW5CWWJYSm5SUkFC4AEA!16s%2Fg%2F11csr1363y?entry=ttu"
Ahmed Shawki Museum,Speciality Museums,"art, history, write, popular","This museum is in recognition of the great Poet-Laureate Ahmed Shawki, which houses a wide collection of more than 713 manuscripts and drafts, a collection of oil paintings, antique objects and photographs of the poet and his family.",Giza,5,57,"https://www.google.com/maps/place/Ahmed+Shawky+Museum/@30.021348,31.2149044,17z/data=!3m1!4b1!4m6!3m5!1s0x14584720a29b1517:0xef19edec302d504f!8m2!3d30.0213434!4d31.2174793!16s%2Fm%2F0406zpp?entry=ttu"
